account,industry_context,run_completed,runtime_seconds,evidence_card_count,high_confidence_evidence_count,contact_count,account_score,priority_label,quality_gate_verdict,risk_flag_count,unsupported_claim_count,llm_calls,input_tokens,output_tokens,cost_usd,cache_hit_rate,report_generated,notes_errors
Globex Industries,B2B SaaS | Series D revenue intelligence customer; 120 AEs across 3 segments,yes,132.38,5,3,3,46,needs_more_research,needs_edit,8,4,10,13618,11052,0.072333,0.4570,yes,
Initech,B2B SaaS | Series C; recent CRO hire focused on forecast accuracy,yes,130.01,2,0,0,22,do_not_send_yet,do_not_send_yet,10,6,10,11453,10849,0.068640,0.5434,yes,
Hooli,B2B SaaS | Late-stage; multi-product motion (PLG + sales-led),yes,131.32,2,0,0,22,do_not_send_yet,do_not_send_yet,9,6,10,12164,10919,0.070548,0.5117,yes,
